campaign_id,simulation_id,pair_id,phase,selection_stratum,geometry,panel_a_in,panel_b_in,case,theta1,theta2,case_formula,group_key,result_status
UV3S1,UV3S1-P001-6x4-Case2,P001,pilot,maximin_gap,6x4,6.0,4.0,Case2,-90,-68,[[+/-theta1]/[+/-theta2]]4,Case2|-90|-68,planned_blind
UV3S1,UV3S1-P001-6x4-Case3,P001,pilot,maximin_gap,6x4,6.0,4.0,Case3,-90,-68,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-90|-68,planned_blind
UV3S1,UV3S1-P001-6x4-Case4,P001,pilot,maximin_gap,6x4,6.0,4.0,Case4,-90,-68,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-90|-68,planned_blind
UV3S1,UV3S1-P001-6x8-Case2,P001,pilot,maximin_gap,6x8,6.0,8.0,Case2,-90,-68,[[+/-theta1]/[+/-theta2]]4,Case2|-90|-68,planned_blind
UV3S1,UV3S1-P001-6x8-Case3,P001,pilot,maximin_gap,6x8,6.0,8.0,Case3,-90,-68,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-90|-68,planned_blind
UV3S1,UV3S1-P001-6x8-Case4,P001,pilot,maximin_gap,6x8,6.0,8.0,Case4,-90,-68,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-90|-68,planned_blind
UV3S1,UV3S1-P001-8x8-Case2,P001,pilot,maximin_gap,8x8,8.0,8.0,Case2,-90,-68,[[+/-theta1]/[+/-theta2]]4,Case2|-90|-68,planned_blind
UV3S1,UV3S1-P001-8x8-Case3,P001,pilot,maximin_gap,8x8,8.0,8.0,Case3,-90,-68,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-90|-68,planned_blind
UV3S1,UV3S1-P001-8x8-Case4,P001,pilot,maximin_gap,8x8,8.0,8.0,Case4,-90,-68,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-90|-68,planned_blind
UV3S1,UV3S1-P002-6x4-Case2,P002,pilot,maximin_gap,6x4,6.0,4.0,Case2,-90,-23,[[+/-theta1]/[+/-theta2]]4,Case2|-90|-23,planned_blind
UV3S1,UV3S1-P002-6x4-Case3,P002,pilot,maximin_gap,6x4,6.0,4.0,Case3,-90,-23,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-90|-23,planned_blind
UV3S1,UV3S1-P002-6x4-Case4,P002,pilot,maximin_gap,6x4,6.0,4.0,Case4,-90,-23,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-90|-23,planned_blind
UV3S1,UV3S1-P002-6x8-Case2,P002,pilot,maximin_gap,6x8,6.0,8.0,Case2,-90,-23,[[+/-theta1]/[+/-theta2]]4,Case2|-90|-23,planned_blind
UV3S1,UV3S1-P002-6x8-Case3,P002,pilot,maximin_gap,6x8,6.0,8.0,Case3,-90,-23,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-90|-23,planned_blind
UV3S1,UV3S1-P002-6x8-Case4,P002,pilot,maximin_gap,6x8,6.0,8.0,Case4,-90,-23,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-90|-23,planned_blind
UV3S1,UV3S1-P002-8x8-Case2,P002,pilot,maximin_gap,8x8,8.0,8.0,Case2,-90,-23,[[+/-theta1]/[+/-theta2]]4,Case2|-90|-23,planned_blind
UV3S1,UV3S1-P002-8x8-Case3,P002,pilot,maximin_gap,8x8,8.0,8.0,Case3,-90,-23,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-90|-23,planned_blind
UV3S1,UV3S1-P002-8x8-Case4,P002,pilot,maximin_gap,8x8,8.0,8.0,Case4,-90,-23,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-90|-23,planned_blind
UV3S1,UV3S1-P003-6x4-Case2,P003,pilot,maximin_gap,6x4,6.0,4.0,Case2,-90,4,[[+/-theta1]/[+/-theta2]]4,Case2|-90|4,planned_blind
UV3S1,UV3S1-P003-6x4-Case3,P003,pilot,maximin_gap,6x4,6.0,4.0,Case3,-90,4,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-90|4,planned_blind
UV3S1,UV3S1-P003-6x4-Case4,P003,pilot,maximin_gap,6x4,6.0,4.0,Case4,-90,4,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-90|4,planned_blind
UV3S1,UV3S1-P003-6x8-Case2,P003,pilot,maximin_gap,6x8,6.0,8.0,Case2,-90,4,[[+/-theta1]/[+/-theta2]]4,Case2|-90|4,planned_blind
UV3S1,UV3S1-P003-6x8-Case3,P003,pilot,maximin_gap,6x8,6.0,8.0,Case3,-90,4,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-90|4,planned_blind
UV3S1,UV3S1-P003-6x8-Case4,P003,pilot,maximin_gap,6x8,6.0,8.0,Case4,-90,4,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-90|4,planned_blind
UV3S1,UV3S1-P003-8x8-Case2,P003,pilot,maximin_gap,8x8,8.0,8.0,Case2,-90,4,[[+/-theta1]/[+/-theta2]]4,Case2|-90|4,planned_blind
UV3S1,UV3S1-P003-8x8-Case3,P003,pilot,maximin_gap,8x8,8.0,8.0,Case3,-90,4,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-90|4,planned_blind
UV3S1,UV3S1-P003-8x8-Case4,P003,pilot,maximin_gap,8x8,8.0,8.0,Case4,-90,4,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-90|4,planned_blind
UV3S1,UV3S1-P004-6x4-Case2,P004,pilot,maximin_gap,6x4,6.0,4.0,Case2,-49,-90,[[+/-theta1]/[+/-theta2]]4,Case2|-49|-90,planned_blind
UV3S1,UV3S1-P004-6x4-Case3,P004,pilot,maximin_gap,6x4,6.0,4.0,Case3,-49,-90,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-49|-90,planned_blind
UV3S1,UV3S1-P004-6x4-Case4,P004,pilot,maximin_gap,6x4,6.0,4.0,Case4,-49,-90,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-49|-90,planned_blind
UV3S1,UV3S1-P004-6x8-Case2,P004,pilot,maximin_gap,6x8,6.0,8.0,Case2,-49,-90,[[+/-theta1]/[+/-theta2]]4,Case2|-49|-90,planned_blind
UV3S1,UV3S1-P004-6x8-Case3,P004,pilot,maximin_gap,6x8,6.0,8.0,Case3,-49,-90,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-49|-90,planned_blind
UV3S1,UV3S1-P004-6x8-Case4,P004,pilot,maximin_gap,6x8,6.0,8.0,Case4,-49,-90,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-49|-90,planned_blind
UV3S1,UV3S1-P004-8x8-Case2,P004,pilot,maximin_gap,8x8,8.0,8.0,Case2,-49,-90,[[+/-theta1]/[+/-theta2]]4,Case2|-49|-90,planned_blind
UV3S1,UV3S1-P004-8x8-Case3,P004,pilot,maximin_gap,8x8,8.0,8.0,Case3,-49,-90,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-49|-90,planned_blind
